Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Net Income,Taxable Income,,,,,,,,,,,,,,,,,,
35,35110,University--Rosedale,89930,7469514000 ,6915986000 ,6620230000 ,,,,,,,,,,,,,,,,,,
35,35111,Vaughan--Woodbridge,83030,4128123000 ,3799626000 ,3700659000 ,,,,,,,,,,,,,,,,,,
35,35112,Waterloo,83570,4526089000 ,4122869000 ,4025153000 ,,,,,,,,,,,,,,,,,,
35,35113,Wellington--Halton Hills,91870,5172729000 ,4735021000 ,4629868000 ,,,,,,,,,,,,,,,,,,
35,35114,Whitby,94370,5121283000 ,4662682000 ,4581575000 ,,,,,,,,,,,,,,,,,,
35,35115,Willowdale,104990,4389237000 ,4052107000 ,3927238000 ,,,,,,,,,,,,,,,,,,
35,35116,Windsor--Tecumseh,93620,3988999000 ,3691295000 ,3534992000 ,,,,,,,,,,,,,,,,,,
35,35117,Windsor West,94370,3388752000 ,3152564000 ,2964974000 ,,,,,,,,,,,,,,,,,,
35,35118,York Centre,82130,3335772000 ,3099744000 ,2960922000 ,,,,,,,,,,,,,,,,,,
35,35119,York--Simcoe,76210,3504813000 ,3233828000 ,3152950000 ,,,,,,,,,,,,,,,,,,
35,35120,York South--Weston,89350,2843219000 ,2682325000 ,2510672000 ,,,,,,,,,,,,,,,,,,
35,35121,Humber River--Black Creek,84620,2240560000 ,2127614000 ,1952843000 ,,,,,,,,,,,,,,,,,,
TOTAL,,,10401230,487793465000 ,448204137000 ,433309723000 ,,,,,,,,,,,,,,,,,,
